Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
LOUSÃ,29/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/06/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,06/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,08/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,09/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,10/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,11/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,12/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,13/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,14/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,15/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,16/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,17/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,18/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,19/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,22/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,23/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,24/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,25/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,28/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,29/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,31/07/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,06/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,08/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,09/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,10/08/1986 09:00,,6.0,,,Coimbra
LOUSÃ,11/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,12/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,13/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,14/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,15/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,16/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,17/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,18/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,19/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,22/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,23/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,24/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,25/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/08/1986 09:00,,3.1,,,Coimbra
LOUSÃ,28/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,29/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,31/08/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,06/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,08/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,09/09/1986 09:00,,8.2,,,Coimbra
LOUSÃ,10/09/1986 09:00,,7.6,,,Coimbra
LOUSÃ,11/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,12/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,13/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,14/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,15/09/1986 09:00,,9.6,,,Coimbra
LOUSÃ,16/09/1986 09:00,,20.8,,,Coimbra
LOUSÃ,17/09/1986 09:00,,21.2,,,Coimbra
LOUSÃ,18/09/1986 09:00,,6.3,,,Coimbra
LOUSÃ,19/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,22/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,23/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,24/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,25/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,28/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,29/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/09/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,06/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,08/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,09/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,10/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,11/10/1986 09:00,,0.8,,,Coimbra
LOUSÃ,12/10/1986 09:00,,9.2,,,Coimbra
LOUSÃ,13/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,14/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,15/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,16/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,17/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,18/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,19/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,22/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,23/10/1986 09:00,,10.1,,,Coimbra
LOUSÃ,24/10/1986 09:00,,12.3,,,Coimbra
LOUSÃ,25/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,28/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,29/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,31/10/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,06/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,08/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,09/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,10/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,11/11/1986 09:00,,17.3,,,Coimbra
LOUSÃ,12/11/1986 09:00,,0.8,,,Coimbra
LOUSÃ,13/11/1986 09:00,,26.1,,,Coimbra
LOUSÃ,14/11/1986 09:00,,36.2,,,Coimbra
LOUSÃ,15/11/1986 09:00,,6.8,,,Coimbra
LOUSÃ,16/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,17/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,18/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,19/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,22/11/1986 09:00,,6.8,,,Coimbra
LOUSÃ,23/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,24/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,25/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,28/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,29/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/11/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,02/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,03/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,04/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,05/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,06/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,07/12/1986 09:00,,0.9,,,Coimbra
LOUSÃ,08/12/1986 09:00,,31.2,,,Coimbra
LOUSÃ,09/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,10/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,11/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,12/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,13/12/1986 09:00,,13.2,,,Coimbra
LOUSÃ,14/12/1986 09:00,,5.8,,,Coimbra
LOUSÃ,15/12/1986 09:00,,24.1,,,Coimbra
LOUSÃ,16/12/1986 09:00,,13.0,,,Coimbra
LOUSÃ,17/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,18/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,19/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,20/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,21/12/1986 09:00,,4.2,,,Coimbra
LOUSÃ,22/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,23/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,24/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,25/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,26/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,27/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,28/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,29/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,30/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,31/12/1986 09:00,,0.0,,,Coimbra
LOUSÃ,01/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/01/1987 09:00,,1.6,,,Coimbra
LOUSÃ,03/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,05/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,06/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,08/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,09/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,10/01/1987 09:00,,42.1,,,Coimbra
LOUSÃ,11/01/1987 09:00,,5.3,,,Coimbra
LOUSÃ,12/01/1987 09:00,,3.8,,,Coimbra
LOUSÃ,13/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,14/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,15/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,16/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,17/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,18/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,19/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,23/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,24/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,25/01/1987 09:00,,0.0,,,Coimbra
LOUSÃ,26/01/1987 09:00,,20.8,,,Coimbra
LOUSÃ,27/01/1987 09:00,,23.1,,,Coimbra
LOUSÃ,28/01/1987 09:00,,15.3,,,Coimbra
LOUSÃ,29/01/1987 09:00,,20.8,,,Coimbra
LOUSÃ,30/01/1987 09:00,,9.2,,,Coimbra
LOUSÃ,31/01/1987 09:00,,20.1,,,Coimbra
LOUSÃ,01/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/02/1987 09:00,,21.3,,,Coimbra
LOUSÃ,03/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,05/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,06/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,08/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,09/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,10/02/1987 09:00,,8.9,,,Coimbra
LOUSÃ,11/02/1987 09:00,,33.5,,,Coimbra
LOUSÃ,12/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,13/02/1987 09:00,,7.6,,,Coimbra
LOUSÃ,14/02/1987 09:00,,10.2,,,Coimbra
LOUSÃ,15/02/1987 09:00,,5.0,,,Coimbra
LOUSÃ,16/02/1987 09:00,,16.3,,,Coimbra
LOUSÃ,17/02/1987 09:00,,30.1,,,Coimbra
LOUSÃ,18/02/1987 09:00,,17.2,,,Coimbra
LOUSÃ,19/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,23/02/1987 09:00,,14.2,,,Coimbra
LOUSÃ,24/02/1987 09:00,,3.1,,,Coimbra
LOUSÃ,25/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,26/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,27/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,28/02/1987 09:00,,0.0,,,Coimbra
LOUSÃ,01/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,03/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,05/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,06/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,08/03/1987 09:00,,5.8,,,Coimbra
LOUSÃ,09/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,10/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,11/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,12/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,13/03/1987 09:00,,4.2,,,Coimbra
LOUSÃ,14/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,15/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,16/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,17/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,18/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,19/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/03/1987 09:00,,0.8,,,Coimbra
LOUSÃ,23/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,24/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,25/03/1987 09:00,,10.2,,,Coimbra
LOUSÃ,26/03/1987 09:00,,5.2,,,Coimbra
LOUSÃ,27/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,28/03/1987 09:00,,14.2,,,Coimbra
LOUSÃ,29/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,30/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,31/03/1987 09:00,,0.0,,,Coimbra
LOUSÃ,01/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,03/04/1987 09:00,,18.3,,,Coimbra
LOUSÃ,04/04/1987 09:00,,35.1,,,Coimbra
LOUSÃ,05/04/1987 09:00,,16.3,,,Coimbra
LOUSÃ,06/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/04/1987 09:00,,27.3,,,Coimbra
LOUSÃ,08/04/1987 09:00,,10.0,,,Coimbra
LOUSÃ,09/04/1987 09:00,,27.3,,,Coimbra
LOUSÃ,10/04/1987 09:00,,12.4,,,Coimbra
LOUSÃ,11/04/1987 09:00,,0.8,,,Coimbra
LOUSÃ,12/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,13/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,14/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,15/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,16/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,17/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,18/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,19/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,23/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,24/04/1987 09:00,,13.2,,,Coimbra
LOUSÃ,25/04/1987 09:00,,9.1,,,Coimbra
LOUSÃ,26/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,27/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,28/04/1987 09:00,,4.8,,,Coimbra
LOUSÃ,29/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,30/04/1987 09:00,,0.0,,,Coimbra
LOUSÃ,01/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,03/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,05/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,06/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,08/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,09/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,10/05/1987 09:00,,2.3,,,Coimbra
LOUSÃ,11/05/1987 09:00,,11.4,,,Coimbra
LOUSÃ,12/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,13/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,14/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,15/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,16/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,17/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,18/05/1987 09:00,,4.9,,,Coimbra
LOUSÃ,19/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,23/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,24/05/1987 09:00,,6.7,,,Coimbra
LOUSÃ,25/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,26/05/1987 09:00,,0.8,,,Coimbra
LOUSÃ,27/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,28/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,29/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,30/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,31/05/1987 09:00,,0.0,,,Coimbra
LOUSÃ,01/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,03/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/06/1987 09:00,,9.6,,,Coimbra
LOUSÃ,05/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,06/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,08/06/1987 09:00,,2.7,,,Coimbra
LOUSÃ,09/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,10/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,11/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,12/06/1987 09:00,,4.1,,,Coimbra
LOUSÃ,13/06/1987 09:00,,11.3,,,Coimbra
LOUSÃ,14/06/1987 09:00,,2.7,,,Coimbra
LOUSÃ,15/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,16/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,17/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,18/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,19/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,23/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,24/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,25/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,26/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,27/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,28/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,29/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,30/06/1987 09:00,,0.0,,,Coimbra
LOUSÃ,01/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,03/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,05/07/1987 09:00,,4.8,,,Coimbra
LOUSÃ,06/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,08/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,09/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,10/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,11/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,12/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,13/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,14/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,15/07/1987 09:00,,0.8,,,Coimbra
LOUSÃ,16/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,17/07/1987 09:00,,10.3,,,Coimbra
LOUSÃ,18/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,19/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,23/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,24/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,25/07/1987 09:00,,5.2,,,Coimbra
LOUSÃ,26/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,27/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,28/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,29/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,30/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,31/07/1987 09:00,,0.0,,,Coimbra
LOUSÃ,01/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,02/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,03/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,05/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,06/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,07/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,08/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,09/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,10/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,11/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,12/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,13/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,14/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,15/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,16/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,17/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,18/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,19/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,20/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,21/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,22/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,23/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,24/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,25/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,26/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,27/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,28/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,29/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,30/08/1987 09:00,,0.0,,,Coimbra
LOUSÃ,31/08/1987 09:00,,15.4,,,Coimbra
LOUSÃ,01/09/1987 09:00,,13.6,,,Coimbra
LOUSÃ,02/09/1987 09:00,,0.0,,,Coimbra
LOUSÃ,03/09/1987 09:00,,0.0,,,Coimbra
LOUSÃ,04/09/1987 09:00,,0.0,,,Coimbra
LOUSÃ,05/09/1987 09:00,,0.0,,,Coimbra
LOUSÃ,06/09/1987 09:00,,0.0,,,Coimbra
